"Account.Length","VMail.Message","Day.Mins","Eve.Mins","Night.Mins","Intl.Mins","CustServ.Calls","Int.l.Plan","VMail.Plan","Day.Calls","Day.Charge","Eve.Calls","Eve.Charge","Night.Calls","Night.Charge","Intl.Calls","Intl.Charge","Area.Code","Churn","rpart","ada","rf","ksvm","glm","nnet","kmeans"
123,0,211,217,214.8,9.8,3,0,0,92,35.87,102,18.45,104,9.67,7,2.65,415,0,"0","0","0","0","0","0","6"
108,0,215.6,195.3,194.4,3.6,1,0,0,78,36.65,119,16.6,65,8.75,5,0.97,415,0,"0","0","0","0","0","0","6"
114,0,191.5,175.2,220.3,0,0,0,0,88,32.56,78,14.89,118,9.91,0,0,415,0,"0","0","0","0","0","0","6"
108,0,103,242.3,170.2,7.9,1,0,0,129,17.51,103,20.6,89,7.66,3,2.13,415,0,"0","0","0","0","0","0","6"
12,0,216.7,116.5,220,9.8,2,1,0,117,36.84,126,9.9,110,9.9,4,2.65,510,0,"0","0","0","0","1","0","3"
112,23,286.6,315.3,193.9,10.3,1,0,1,79,48.72,102,26.8,101,8.73,6,2.78,415,0,"0","0","0","0","0","0","3"
79,0,222.3,146.2,275.6,8.9,3,0,0,99,37.79,82,12.43,82,12.4,4,2.4,415,0,"0","0","0","0","0","0","3"
66,33,88.8,109.6,172.7,7.1,3,0,1,104,15.1,94,9.32,107,7.77,9,1.92,510,0,"0","0","0","1","0","0","3"
113,0,159.8,210.1,175.1,13.1,2,0,0,143,27.17,93,17.86,86,7.88,7,3.54,415,0,"0","0","0","0","0","0","6"
113,23,149,235.8,201.8,9.5,4,0,1,104,25.33,67,20.04,76,9.08,5,2.57,415,0,"1","0","0","0","0","0","3"
121,0,150.7,197.3,169,9.2,1,0,0,105,25.62,133,16.77,116,7.61,15,2.48,408,0,"0","0","0","0","0","0","6"
182,0,69.1,230.3,256.7,6.5,0,0,0,114,11.75,109,19.58,96,11.55,4,1.76,415,0,"0","0","0","1","0","0","6"
167,0,169.2,173.3,216.5,12.4,4,0,0,124,28.76,108,14.73,64,9.74,4,3.35,415,1,"0","0","0","0","0","0","3"
46,0,199.2,175.1,210.6,10.2,3,0,0,111,33.86,83,14.88,84,9.48,2,2.75,510,0,"0","0","0","0","0","0","6"
152,0,228.1,136.4,197.3,9,1,0,0,93,38.78,106,11.59,107,8.88,2,2.43,510,0,"0","0","0","0","0","0","6"
130,0,124.3,270.7,239.5,3.5,0,0,0,70,21.13,99,23.01,83,10.78,6,0.95,510,0,"0","0","0","0","0","0","6"
75,21,175.8,217.5,237.5,5.3,5,0,1,97,29.89,106,18.49,134,10.69,4,1.43,415,0,"0","0","0","0","0","0","3"
